Etykiety wierszy;�rednia z liczba_przypadkow;�rednia z zgony;�rednia z liczba_osob_objetych_kwarantanna;covid19_cases;covid19_deaths;covid19_quarantine
aleksandrowski;18,63333333;1,1;347;5329;315;99242
augustowski;12,6;1,310344828;331,5;3604;375;94809
bartoszycki;32,4;1,266666667;628,3;9266;362;179694
będziński;37,86666667;1;802,9666667;10830;286;229648
bełchatowski;24,6;1,482758621;563,5666667;7036;424;161180
Biała Podlaska;21,5;1,448275862;513,3333333;6149;414;146813
białobrzeski;4,533333333;0,24137931;237,4333333;1297;69;67906
białogardzki;26,76666667;0,827586207;450,9;7655;237;128957
białostocki;41,8;1,206896552;901,5333333;11955;345;257839
Białystok;84,73333333;2,413793103;1718,466667;24234;690;491481
bialski;29,33333333;3,166666667;764,2666667;8389;906;218580
bielski;26,11666667;0,847457627;763,45;7469;242;218347
Bielsko-Biała;43,56666667;1;968,5333333;12460;286;277001
bieruńsko-lędziński;11,56666667;0,533333333;351,2666667;3308;153;100462
bieszczadzki;1,933333333;0,275862069;54,43333333;553;79;15568
biłgorajski;11,16666667;1,24137931;354,6;3194;355;101416
bocheński;15,26666667;1,379310345;453,9666667;4366;394;129834
bolesławiecki;35;0,733333333;665,6;10010;210;190362
braniewski;19,06666667;0,766666667;479,5;5453;219;137137
brodnicki;25,2;1,034482759;584,5666667;7207;296;167186
brzeski;17,08333333;0,9;484,4166667;4886;257;138543
brzeziński;6,733333333;0,448275862;172,6666667;1926;128;49383
brzozowski;5,766666667;0,413793103;193,0666667;1649;118;55217
buski;10,36666667;0,793103448;264,6;2965;227;75676
bydgoski;63,23333333;1,066666667;1170;18085;305;334620
Bydgoszcz;191,1666667;4,533333333;2776,533333;54674;1297;794089
Bytom;34,1;1,533333333;662,3;9753;439;189418
bytowski;18,56666667;0,689655172;524,5333333;5310;197;150017
Chełm;28,06666667;1,310344828;526,6333333;8027;375;150617
chełmiński;22,4;0,551724138;527,8666667;6406;158;150970
chełmski;20,46666667;1,172413793;531,0333333;5853;335;151876
chodzieski;12,93333333;0,413793103;331,0666667;3699;118;94685
chojnicki;25,5;0,9;638,3666667;7293;257;182573
Chorzów;23,16666667;1,233333333;483,4666667;6626;353;138271
choszczeński;20,1;0,533333333;364,4333333;5749;153;104228
chrzanowski;22,13333333;0,833333333;566,5333333;6330;238;162029
ciechanowski;18,73333333;1,2;497,8666667;5358;343;142390
cieszyński;32,03333333;1,433333333;946,2666667;9162;410;270632
czarnkowsko-trzcianecki;41,83333333;1,666666667;1054,933333;11964;477;301711
Częstochowa;43,5;2,1;866,1333333;12441;601;247714
częstochowski;23,6;1,4;559;6750;400;159874
człuchowski;25,33333333;1,344827586;497,5666667;7245;385;142304
Dąbrowa Górnicza;30,53333333;0,9;611,4333333;8733;257;174870
dąbrowski;7,2;1,133333333;200,7666667;2059;324;57419
dębicki;9,733333333;1,366666667;374,7666667;2784;391;107183
drawski;24,06666667;0,733333333;578,7666667;6883;210;165527
działdowski;38,9;1,448275862;800,2333333;11125;414;228867
dzierżoniowski;15,06666667;1;409,7333333;4309;286;117184
ełcki;32,1;1,233333333;824,6;9181;353;235836
Elbląg;76,2;2,133333333;1388,366667;21793;610;397073
elbląski;33,36666667;0,689655172;689,9;9543;197;197311
górowski;9,033333333;0,24137931;217,7333333;2584;69;62272
garwoliński;10,9;0,896551724;393,8;3117;256;112627
Gdańsk;196,4;4,466666667;3864,433333;56170;1277;1105228
gdański;49,56666667;1,1;1319,7;14176;315;377434
Gdynia;101,1;1,933333333;1760,966667;28915;553;503636
giżycki;23,83333333;0,689655172;480,3;6816;197;137366
głogowski;21,63333333;0,966666667;633,6666667;6187;276;181229
głubczycki;27,43333333;1;280,6666667;7846;286;80271
Gliwice;54,53333333;1,448275862;1062;15597;414;303732
gliwicki;37,5;0,966666667;830,9666667;10725;276;237656
gnieźnieński;58,16666667;2,3;1366,433333;16636;658;390800
gołdapski;8,466666667;0,517241379;260,9;2421;148;74617
goleniowski;46,13333333;1,033333333;1127,2;13194;296;322379
golubsko-dobrzyński;14,76666667;0,379310345;310;4223;108;88660
gorlicki;16,33333333;0,965517241;402,7333333;4671;276;115182
Gorzów Wielkopolski;47,86666667;1,766666667;954,8;13690;505;273073
gorzowski;24,93333333;0,724137931;611,8333333;7131;207;174984
gostyński;11,1;0,793103448;312,8666667;3175;227;89480
gostyniński;9,733333333;1;233,1;2784;286;66667
grajewski;10;0,724137931;209,9;2860;207;60031
grójecki;22,16666667;1;1301,766667;6340;286;372305
grodziski;25,11666667;0,796610169;744,7666667;7183;228;213003
Grudziądz;56,1;1,172413793;927,1;16045;335;265151
grudziądzki;20,33333333;0,344827586;429,4666667;5815;99;122827
gryficki;25,13333333;0,75862069;539,1333333;7188;217;154192
gryfiński;43,46666667;0,766666667;828,8666667;12431;219;237056
hajnowski;11,23333333;0,733333333;262,3;3213;210;75018
hrubieszowski;16,06666667;1,206896552;427,6;4595;345;122294
iławski;45,03333333;1,448275862;1027;12880;414;293722
inowrocławski;59,36666667;2,266666667;1220,833333;16979;648;349158
janowski;6,333333333;0,75862069;181,8;1811;217;51995
jarociński;14,36666667;1,033333333;494,4333333;4109;296;141408
jarosławski;20,16666667;1,6;485,3333333;5768;458;138805
jasielski;20,4;1,379310345;307,5333333;5834;394;87955
Jastrzębie-Zdrój;15,73333333;0,4;392,6666667;4500;114;112303
jędrzejowski;13,63333333;0,633333333;372,4666667;3899;181;106525
jaworski;14,13333333;0,933333333;256,6;4042;267;73388
Jaworzno;23,4;0,6;469,5666667;6692;172;134296
Jelenia Góra;22,53333333;1,266666667;485,3;6445;362;138796
jeleniogórski;13,8;1,2;316,9666667;3947;343;90652
kaliski;11,66666667;0,5;404,0333333;3337;143;115554
Kalisz;18,36666667;1,103448276;383,7;5253;316;109738
kamieński;18,6;0,724137931;396,6333333;5320;207;113437
kamiennogórski;8,8;0,137931034;181,1333333;2517;39;51804
kartuski;33,5;1,133333333;1057,833333;9581;324;302540
Katowice;76,7;4,266666667;1336,7;21936;1220;382296
kędzierzyńsko-kozielski;29,26666667;1,333333333;639,1;8370;381;182783
kępiński;16,3;0,655172414;523,3;4662;187;149664
kętrzyński;24,06666667;0,8;421,8;6883;229;120635
kazimierski;3,666666667;0,24137931;128,3666667;1049;69;36713
Kielce;35,16666667;1,233333333;539,6;10058;353;154326
kielecki;29,9;1,206896552;641,8333333;8551;345;183564
kłobucki;17,86666667;1,033333333;447,3;5110;296;127928
kłodzki;25,13333333;2,566666667;799,5;7188;734;228657
kluczborski;17,76666667;0,689655172;454,9666667;5081;197;130120
kołobrzeski;26,13333333;0,933333333;510,0666667;7474;267;145879
kościański;18,7;1,066666667;565,4666667;5348;305;161723
kościerski;18,76666667;0,8;581,3666667;5367;229;166271
kolbuszowski;7,7;0,448275862;164,5;2202;128;47047
kolneński;5,866666667;0,5;132,2333333;1678;143;37819
kolski;11,5;1,1;278,7333333;3289;315;79718
konecki;15,16666667;1,233333333;317,4666667;4338;353;90795
koniński;27,83333333;1,275862069;935,8333333;7960;365;267648
Konin;23,03333333;1;506,8666667;6588;286;144964
koszaliński;19,36666667;0,333333333;465,6666667;5539;95;133181
Koszalin;37,96666667;0,966666667;707,7;10858;276;202402
kozienicki;14,63333333;0,533333333;438,7333333;4185;153;125478
Kraków;154,2666667;6,966666667;3131,366667;44120;1992;895571
krakowski;62,3;1,9;1468,633333;17818;543;420029
kraśnicki;25,23333333;0,689655172;498,1666667;7217;197;142476
krapkowicki;19,56666667;1,466666667;535;5596;419;153010
krasnostawski;30,16666667;1,103448276;573,2666667;8628;316;163954
krośnieński;18,66666667;0,793103448;390,1;5339;227;111569
Krosno;8,9;0,517241379;96,5;2545;148;27599
krotoszyński;16,36666667;0,666666667;589,1333333;4681;191;168492
kutnowski;26,16666667;1,066666667;664,0666667;7484;305;189923
kwidzyński;24,63333333;0,833333333;639,4666667;7045;238;182887
łańcucki;20,1;1,310344828;450,9333333;5749;375;128967
łódzki wschodni;23,43333333;0,517241379;574,2666667;6702;148;164240
łaski;9,566666667;0,551724138;283,8;2736;158;81167
łęczycki;15,4;0,333333333;441,7;4404;95;126326
łęczyński;16,73333333;0,8;411,3;4786;229;117632
łobeski;15,83333333;0,551724138;321,2333333;4528;158;91873
łomżyński;7,433333333;0,566666667;296,6;2126;162;84828
łosicki;4,866666667;0,655172414;191,4;1392;187;54740
łowicki;13,76666667;0,793103448;477,3333333;3937;227;136517
łukowski;13,86666667;1;450,1;3966;286;128729
średzki;17,35;0,93220339;504,1333333;4962;267;144182
śremski;19,53333333;0,9;545,7;5587;257;156070
świdnicki;35,91666667;1,293103448;948,25;10272;370;271200
świdwiński;14,5;0,566666667;323,6;4147;162;92550
świebodziński;21,4;0,666666667;532,3333333;6120;191;152247
świecki;47,83333333;2,172413793;1091,9;13680;621;312283
Żory;12,33333333;0,551724138;363,4666667;3527;158;103951
Łódź;267,8;6,689655172;4568,2;76591;1913;1306505
Łomża;18,96666667;0,517241379;407,1666667;5424;148;116450
lęborski;15,6;0,827586207;356,8666667;4462;237;102064
legionowski;30,06666667;0,931034483;923,2666667;8599;266;264054
Legnica;22,56666667;0,933333333;641,7666667;6454;267;183545
legnicki;13,66666667;0,366666667;322,1;3909;105;92121
leżajski;8,533333333;0,896551724;241,6666667;2441;256;69117
leski;5,333333333;0,4;90,43333333;1525;114;25864
leszczyński;15,23333333;0,862068966;527,7666667;4357;247;150941
Leszno;20,2;1,275862069;445,2;5777;365;127327
lidzbarski;18,93333333;0,620689655;462,1333333;5415;178;132170
limanowski;9,2;1,033333333;235,4333333;2631;296;67334
lipnowski;20,83333333;0,482758621;539;5958;138;154154
lipski;5,5;0,533333333;149,4;1573;153;42728
żagański;21,06666667;0,75862069;616,2666667;6025;217;176252
żarski;25,3;1,133333333;648,6;7236;324;185500
żniński;32,46666667;1,103448276;648,5666667;9285;316;185490
żuromiński;5,533333333;0,433333333;158,4666667;1583;124;45321
żyrardowski;23,3;1,066666667;548;6664;305;156728
żywiecki;25,16666667;1,1;901,5333333;7198;315;257839
Świętochłowice;12,06666667;0,620689655;226;3451;178;64636
Świnoujście;15,93333333;0,413793103;331,2333333;4557;118;94733
lubaczowski;14,4;0,833333333;400,1333333;4118;238;114438
lubański;14,9;0,6;428,1666667;4261;172;122456
lubartowski;20,23333333;1,103448276;633,1666667;5787;316;181086
lubelski;53,73333333;0,724137931;1254,433333;15368;207;358768
lubiński;27,96666667;0,933333333;660,1666667;7998;267;188808
Lublin;124,2;2,275862069;2260,666667;35521;651;646551
lubliniecki;17,3;0,8;446,7666667;4948;229;127775
lwówecki;10,3;0,310344828;234,5;2946;89;67067
makowski;6,9;0,448275862;172,5666667;1973;128;49354
malborski;37,2;0,966666667;694,1333333;10639;276;198522
międzychodzki;10,13333333;0,551724138;267,3666667;2898;158;76467
międzyrzecki;21,06666667;0,793103448;454,5;6025;227;129987
miechowski;4,933333333;0,533333333;133,2666667;1411;153;38114
mielecki;18,06666667;1,566666667;504,0333333;5167;448;144154
mikołowski;27,86666667;1,133333333;601,1666667;7970;324;171934
miński;38,3;1,24137931;1095;10954;355;313170
milicki;7,933333333;0,482758621;229,2666667;2269;138;65570
mławski;12,63333333;1,24137931;490,8666667;3613;355;140388
mogileński;14,33333333;0,448275862;351,7333333;4099;128;100596
moniecki;6,833333333;0,733333333;207,9;1954;210;59459
mrągowski;23,13333333;0,9;447,8333333;6616;257;128080
myślenicki;16,86666667;1;423,5666667;4824;286;121140
myśliborski;23,63333333;0,333333333;504,9;6759;95;144401
Mysłowice;13,53333333;0,833333333;298,2333333;3871;238;85295
myszkowski;16,8;0,7;394,6;4805;200;112856
nakielski;43,33333333;1,482758621;929,8333333;12393;424;265932
namysłowski;14,6;1,034482759;380,4333333;4176;296;108804
nidzicki;14,63333333;0,566666667;386,7;4185;162;110596
niżański;11,06666667;0,866666667;400,6666667;3165;248;114591
nowodworski;14,83333333;0,661016949;425,2666667;4242;189;121626
nowomiejski;15,7;0,482758621;425,2;4490;138;121607
nowosądecki;19,5;1,5;451,1;5577;429;129015
nowosolski;17,8;1,133333333;474,3;5091;324;135650
nowotarski;10,5;1,533333333;188,7666667;3003;439;53987
nowotomyski;20,3;1,137931034;763;5806;325;218218
Nowy Sącz;9,533333333;0,933333333;175,1666667;2727;267;50098
nyski;38,36666667;1,965517241;821,8333333;10973;562;235044
obornicki;24,43333333;0,655172414;754,6666667;6988;187;215835
oławski;19,76666667;1,133333333;843,3;5653;324;241184
oświęcimski;21,63333333;1,033333333;580,4333333;6187;296;166004
olecki;13,63333333;0,7;364,7333333;3899;200;104314
oleśnicki;27,7;0,833333333;920,2;7922;238;263177
oleski;11,7;0,766666667;307,6;3346;219;87974
olkuski;13,7;1,333333333;433,9666667;3918;381;124114
olsztyński;68,66666667;2,689655172;1421,1;19639;769;406435
Olsztyn;114,5;2,733333333;1746,166667;32747;782;499404
opatowski;9,533333333;0,833333333;250,2666667;2727;238;71576
opoczyński;6,233333333;0,896551724;187,3333333;1783;256;53577
Opole;46,93333333;1,9;1109,733333;13423;543;317384
opolski;25,91666667;1,316666667;633,45;7412;377;181167
ostródzki;54,5;1,633333333;1103,4;15587;467;315572
ostrołęcki;9;0,413793103;344,4666667;2574;118;98517
Ostrołęka;7,566666667;0,586206897;182,4666667;2164;168;52185
ostrowiecki;27,16666667;1,566666667;554,2666667;7770;448;158520
ostrowski;21,83333333;1,5;581,1;6244;429;166195
ostrzeszowski;13,03333333;0,724137931;301,4666667;3728;207;86219
otwocki;39,93333333;0,655172414;1172,533333;11421;187;335345
pabianicki;51,3;2,482758621;874,2333333;14672;710;250031
pajęczański;6,933333333;0,689655172;281,3666667;1983;197;80471
parczewski;7,833333333;0,655172414;193,5;2240;187;55341
piaseczyński;68,06666667;1,166666667;1783;19467;334;509938
Piekary Śląskie;13,46666667;0,6;270,6;3851;172;77392
pińczowski;8,966666667;0,275862069;161,1333333;2564;79;46084
pilski;56,13333333;1,827586207;1336,8;16054;523;382325
Piotrków Trybunalski;16,7;0,413793103;361,7333333;4776;118;103456
piotrkowski;14,86666667;0,7;402,3;4252;200;115058
piski;23,63333333;0,8;498,1;6759;229;142457
Płock;39,83333333;2,137931034;791,2333333;11392;611;226293
płocki;32,06666667;1,433333333;846,9;9171;410;242213
płoński;19,46666667;1;695,3;5567;286;198856
pleszewski;11,1;0,896551724;381,0333333;3175;256;108976
poddębicki;15,63333333;1;361,3;4471;286;103332
policki;45,83333333;0,566666667;930,9666667;13108;162;266256
polkowicki;11,7;0,310344828;474,5333333;3346;89;135717
Poznań;232,4333333;6,068965517;3805,066667;66476;1736;1088249
poznański;188,1666667;4,6;3957,666667;53816;1316;1131893
proszowicki;3,633333333;0,586206897;163,5333333;1039;168;46771
prudnicki;12,03333333;0,633333333;276,7;3442;181;79136
pruszkowski;53,86666667;2,3;1547,166667;15406;658;442490
przasnyski;13,16666667;0,866666667;374,8;3766;248;107193
Przemyśl;13,3;0,793103448;237,7;3804;227;67982
przemyski;13,56666667;0,8;449,7666667;3880;229;128633
przeworski;12,03333333;1,206896552;272,5;3442;345;77935
przysuski;5,9;0,4;136,6333333;1687;114;39077
pszczyński;19,5;0,4;545,4666667;5577;114;156003
pucki;30,06666667;0,6;794,6666667;8599;172;227275
puławski;34,9;1,482758621;755,3666667;9981;424;216035
pułtuski;9,466666667;0,2;249,9333333;2707;57;71481
pyrzycki;15,33333333;0,5;386,7;4385;143;110596
raciborski;26,06666667;1,7;552,7333333;7455;486;158082
Radom;43,56666667;1,5;904,1;12460;429;258573
